;nofiness;rs;rslongue;complrs;numvoie;typvoie;voie;compvoie;compldistrib;lieuditbp;commune;ligneacheminement;departement;libdepartement;telephone;statutjuridique;libstatutjuridique;categetab;libcategetab;siren;codeape;datecrea
structureej;50001270;CCAS LARAGNE-MONTEGLIN;CENTRE COMMUNAL D'ACTION SOCIALE LARAGNE;;;;HOTEL DE VILLE;;;;70;05300 LARAGNE MONTEGLIN;5;HAUTES ALPES;492651190;17;Centre Communal d'Action Sociale;;;260500806;8899B;01/01/2001
structureej;50001346;ASS BIEN VIVRE AIGUES BUECH;;;;R;DES JARDINS;;ASS.BIEN VIVRE AYGUES & BUECH;;166;05700 SERRES;5;HAUTES ALPES;492671200;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;331288522;8690D;01/01/2001
structureej;50001478;C.C.A.S. - SERRES;CENTRE COMMUNAL D'ACTION SOCIALE;;;;;;MAIRIE;;166;05700 SERRES;5;HAUTES ALPES;492670350;17;Centre Communal d'Action Sociale;;;;;01/01/2001
structureej;50001544;ADSEA 05;ASSO DPT POUR LA SAUVEGARDE ENFANCE ET ADOLESCENCE HA;;72;RTE;DES EYSSAGNIERES;;;BP 332;61;05006 GAP CEDEX;5;HAUTES ALPES;492512720;60;Association Loi 1901 non Reconnue d'Utilité Publique;699;Entité Ayant Autorisation;775549751;8899B;01/01/2001
structureej;50001551;ADAPEI;ASSO DEPART DES PARENTS & AMIS DE PERSONNES HANDICAPEES MENT;;;;;;VILLAROBERT;BP 62;61;05002 GAP CEDEX;5;HAUTES ALPES;492402300;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;782436208;;01/01/2001
structureej;50001569;C.C.A.S. - GAP;C.C.A.S. - GAP;;7;PL;JULES FERRY;;;;61;05000 GAP;5;HAUTES ALPES;492523341;17;Centre Communal d'Action Sociale;;;260500103;8899B;01/01/2001
structureej;50001577;CENTRE COMMUNAL D'ACTION SOCIALE;CENTRE COMMUNAL D'ACTION SOCIALE;;;PL;DE LA REPUBLIQUE;;HOTEL DE VILLE;;179;05400 VEYNES;5;HAUTES ALPES;492581022;17;Centre Communal d'Action Sociale;;;260500129;8899B;01/03/1983
structureej;50001593;ASSOCIATION VIVRE DANS SON PAYS;ASSOCIATION VIVRE DANS SON PAYS;;;R;DE L'HOPITAL;;;;70;05300 LARAGNE MONTEGLIN;5;HAUTES ALPES;492651759;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;317167914;;01/01/2001
structureej;50001668;ASSOCIATION BIEN CHEZ SOI;ASSOCIATION BIEN CHEZ SOI;;5;RTE;DE GRENOBLE;;LES BARRAQUES;;54;05500 LA FARE EN CHAMPSAUR;5;HAUTES ALPES;492505154;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;337526453;;01/01/2001
structureej;50001676;ASSOCIATION SIAM BEN A L'OUSTAU;ASSOCIATION SIAM BEN A L'OUSTAU;;410;AV;COMMANDANT DUMONT;;;;179;05400 VEYNES;5;HAUTES ALPES;492581022;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;331328179;8690D;01/01/2001
structureej;50001684;ASSOCIATION ESSOR;ASSOCIATION ESSOR (EX ASSOCIATION INTERCANTONALE ESSOR);;62;AV;DE PROVENCE;;;;61;05000 GAP;5;HAUTES ALPES;492540001;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;329690051;8690D;01/01/2001
structureej;50001700;ASSOCIATION VIVRE SA VIE CHEZ SOI-VVCS;ASSOCIATION VIVRE SA VIE CHEZ SOI - VVCS;;404;AV;CHARLES DE GAULLE;;MAISON DU CANTON;;6;05120 L ARGENTIERE LA BESSEE;5;HAUTES ALPES;492230099;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;327510897;8690D;01/01/2001
structureej;50001759;FEDERATION ADMR DES HAUTES-ALPES;FEDERATION DEPARTEMENTALE D'AIDE A DOMICILE EN MILIEU RURAL;;5;IMP;DE BONNE;;;;61;05000 GAP;5;HAUTES ALPES;492523782;61;Association Loi 1901 Reconnue d'Utilité Publique;;;333098770;;01/01/2001
structureej;50001767;ASSOCIATION LA SAPINETTE-CH. MILLON;;;9;R;DE COUSTILLOU;;LES COMBES;;132;05500 ST BONNET EN CHAMPSAUR;5;HAUTES ALPES;492501023;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;312398183;;01/01/2001
structureej;50001973;EHPAD FRANCOIS PAVIE;EHPAD FRANCOIS PAVIE;;1;R;DES MARRONNIERS;;;;164;05160 SAVINES LE LAC;5;HAUTES ALPES;492442025;21;Etablissement Social et Médico-Social Communal;;;260500087;;01/01/2001
structureej;50002005;CONSEIL DÉPARTEMENTAL DES H.A.;CONSEIL DÉPARTEMENTAL DES HAUTES-ALPES;;;PL;ST ARNOUX;;;;61;05000 GAP;5;HAUTES ALPES;492403800;2;Département;;;220500011;8411Z;01/01/2001
structureej;50002039;GCS DES HAUTES ALPES;GROUPEMENT DE COOPERATION SANITAIRE DES HAUTES ALPES;;24;AV;ADRIEN DAURELLE;;SITE CH BRIANCON;;23;05105 BRIANCON CEDEX;5;HAUTES ALPES;492253456;29;Groupement de Coopération Sanitaire public;699;Entité Ayant Autorisation;318395050;;01/01/2013
structureej;50002088;ASSOCIATION L'ARBRE DE VIE;ASSOCIATION  L'ARBRE DE VIE;;32;R;JOSEPH SILVESTRE;;;;23;05100 BRIANCON;5;HAUTES ALPES;492201616;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;333783652;;01/01/2001
structureej;50002211;GRETA-CFA ALPES PROVENCE;GRETA-CFA ALPES PROVENCE- LYCEE DOMINIQUE VILLARS;LYCEE DOMINIQUE VILLARS;;PL;DE VERDUN;;;;61;05000 GAP;5;HAUTES ALPES;492525570;26;Autre Etablissement Public à Caractère Administratif;;;190500066;8559A;01/01/2001
structureej;50002732;SELARL PHARMACIE DU PROREL;SELARL PHARMACIE DU PROREL;;30;AV;Maurice Petsche;;;;23;05100 BRIANCON;5;HAUTES ALPES;492210061;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;804368249;;03/07/2023
structureej;50002757;SELARL PHARMACIE DU MELEZIN;SELARL PHARMACIE DU MELEZIN;;47;AV;GENERAL DE GAULLE;;;;23;05100 BRIANCON;5;HAUTES ALPES;;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;498331255;;08/03/1985
structureej;50002773;SELARL PHARMACIE DU QUINZE NEUF;SELARL PHARMACIE DU QUINZE NEUF;;8;AV;DU 159eme R.I.A.;;;;23;05100 BRIANCON;5;HAUTES ALPES;492210041;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;815032040;;08/09/1942
structureej;50002807;SELARL PHARMACIE DU CHAMP DE MARS;SELARL PHARMACIE DU CHAMP DE MARS;;15;;CHAMP DE MARS;;;;23;05100 BRIANCON;5;HAUTES ALPES;492211095;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;794659318;;21/08/1998
structureej;50002823;PHARMACIE STEINMETZ-PEGOUD;PHARMACIE STEINMETZ-PEGOUD;;30;R;CENTRALE;;;;23;05100 BRIANCON;5;HAUTES ALPES;492210113;70;Personne Physique;;;394045041;;22/10/1996
structureej;50002856;SELARL PHARMACIE GRAND BOUCLE BORNAND;SELARL PHARMACIE GRAND BOUCLE BORNAND;;;;;;;;23;05100 BRIANCON;5;HAUTES ALPES;492211026;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;823209051;;26/05/1987
structureej;50002906;SELARL PHARMACIE DU HAUT BUECH;SELARL PHARMACIE DU HAUT BUECH;;;R;DES JARDINS;;;;10;05140 ASPRES SUR BUECH;5;HAUTES ALPES;492586008;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;509563573;;14/09/2011
structureej;50002922;SELARL C LA PHARMACIE D'ANCELLE;SELARL C LA PHARMACIE D'ANCELLE;;;RES;LE DAHUT;;;;4;05260 ANCELLE;5;HAUTES ALPES;492508320;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;879288132;;17/05/1982
structureej;50002948;CHI DES ALPES DU SUD;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;;1;PL;AUGUSTE MURET;;;BP 101;61;05007 GAP CEDEX;5;HAUTES ALPES;492406102;14;Etablissement Public Intercommunal d'Hospitalisation;355;Centre Hospitalier (C.H.);260503479;8610Z;01/01/2006
structureej;50002955;SELARL PHARMACIE DU MONT GUILLAUME;SELARL PHARMACIE DU MONT GUILLAUME;;53;R;CLOVIS HUGUES;;;;46;05200 EMBRUN;5;HAUTES ALPES;492430015;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;828538108;;08/09/1942
structureej;50002971;SELARL PHIE GIRAUD-SAUVEUR - PIERREL;SELARL PHIE GIRAUD-SAUVEUR - PIERREL;;86;AV;d'Embrun;;;;61;05000 GAP;5;HAUTES ALPES;492561010;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;843538398;;26/11/2019
structureej;50002989;"ASSOCIATION ""JEAN MARTIN""";;;22;BD;GÉNÉRAL DE GAULLE;;;;61;05000 GAP;5;HAUTES ALPES;;61;Association Loi 1901 Reconnue d'Utilité Publique;;;484514765;;29/07/2005
structureej;50003003;SELAS  PHIE DE L'ARGENTIERE LA BESSEE;SELAS  PHIE DE L'ARGENTIERE LA BESSEE;;;;LIEU DIT LA RIBE;;;;6;05120 L ARGENTIERE LA BESSEE;5;HAUTES ALPES;492231017;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;493046353;;16/04/2009
structureej;50003052;PHARMACIE BONNET;PHARMACIE BONNET;;11;PL;Commandant Dumont;;;;170;05130 TALLARD;5;HAUTES ALPES;492541292;70;Personne Physique;;;424492114;;12/05/1965
structureej;50003102;SELURL PHARMACIE CENTRALE VEYNES;SELURL PHARMACIE CENTRALE VEYNES;;12;AV;DU COMMANDANT DUMONT;;;;179;05400 VEYNES;5;HAUTES ALPES;492580140;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;523653889;;29/06/2011
structureej;50003128;SCAN DU BRIANCONNAIS SITE CH BRIANCON;GIE SCANNER DU BRIANCONNAIS SITE CH BRIANCON;;24;AV;ADRIEN DAURELLE;;;;23;05105 BRIANCON CEDEX;5;HAUTES ALPES;492253456;76;Groupement d'Intérêt Economique (G.I.E.);699;Entité Ayant Autorisation;482403995;8299Z;17/11/2005
structureej;50003136;SELARL GAP ALPES PHARMACIE;SELARL GAP ALPES PHARMACIE;;16;R;du Mazel;B;;;61;05000 GAP;5;HAUTES ALPES;492510083;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;833951486;;08/09/1942
structureej;50003151;SELARL PHARMACIE CASTRES - NEYRA;SELARL PHARMACIE CASTRES - NEYRA;;480;RTE;de Grenoble;;;;79;05220 LE MONETIER LES BAINS;5;HAUTES ALPES;492244470;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;344909460;;15/01/2024
structureej;50003185;SELEURL PHARMACIE DU SOLEIL;SELEURL PHARMACIE DU SOLEIL;;;PL;BARTHELON;;;;46;05200 EMBRUN;5;HAUTES ALPES;492430030;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;811912724;;08/09/1942
structureej;50003201;SELARL PHARMACIE DE LA COMMANDERIE;SELARL PHARMACIE DE LA COMMANDERIE;;8;R;Antonin Coronat;;;;61;05000 GAP;5;HAUTES ALPES;492515718;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;333255271;;13/05/2025
structureej;50003219;SAS TIERS TEMPS GAP;;;;R;CHARLES AUROUZE;;;;61;05000 GAP;5;HAUTES ALPES;492496313;95;Société par Actions Simplifiée (S.A.S.);699;Entité Ayant Autorisation;483992913;8710A;09/12/2005
structureej;50003235;SELARL PHARMACIE ALPES DU SUD;SELARL PHARMACIE ALPES DU SUD;;115;BD;GEORGES POMPIDOU;;;;61;05000 GAP;5;HAUTES ALPES;492510871;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;800377202;;09/02/1976
structureej;50003250;SELARL PHARMACIE COUTIN-RIZZITELLI;SELARL PHARMACIE COUTIN-RIZZITELLI;;23;R;CARNOT;;;;61;05000 GAP;5;HAUTES ALPES;492513293;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;909911976;;08/09/1942
structureej;50003284;SELARL PHIE DE L'OFFICE DU TOURISME;SELARL PHIE DE L'OFFICE DU TOURISME;;2;PL;JEAN MARCELLIN;;;;61;05000 GAP;5;HAUTES ALPES;492520104;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;982452211;;03/09/1942
structureej;50003300;SELARL P. DU BARRAGE DE SERRE-PONÇON;SELARL P. DU BARRAGE DE SERRE-PONÇON;;1515;AV;de Serre-Ponçon;;;Lieudit Hôtel;50;05190 ESPINASSES;5;HAUTES ALPES;492544054;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;982417735;;16/04/2024
structureej;50003334;SELARL  PHARMACIE DES ECRINS;SELARL  PHARMACIE DES ECRINS;;;;;;;;161;05240 LA SALLE LES ALPES;5;HAUTES ALPES;492247058;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;481468171;;09/11/1974
structureej;50003367;SELARL PHARMACIE CELINE GOUDIN;SELARL PHARMACIE CELINE GOUDIN;;29;R;DE FRANCE;;;;61;05000 GAP;5;HAUTES ALPES;492510069;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;842021891;;08/09/1942
structureej;50003383;SELARL PHARMACIE DU TORRENT DE BONNE;SELARL PHARMACIE DU TORRENT DE BONNE;;3;AV;DU COMMANDANT DUMONT;;;;61;05000 GAP;5;HAUTES ALPES;492510643;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;842840563;;28/10/1983
structureej;50003417;SNC  PHARMACIE GALLINO;SNC  PHARMACIE GALLINO;;38;AV;COMMANDANT DUMONT;;;;61;05000 GAP;5;HAUTES ALPES;492511698;71;Société en Nom Collectif (S.N.C.);;;388670325;;18/04/1966
structureej;50003433;SELARL PHARMACIE LAMONERIE;SELARL PHARMACIE LAMONERIE;;4;AV;de la Liberation;B;;;132;05500 ST BONNET EN CHAMPSAUR;5;HAUTES ALPES;492501773;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;478056286;;18/11/1994
structureej;50003466;SNC PHARMACIE DE LA LIBERATION;SNC PHARMACIE DE LA LIBERATION;;33;BD;DE LA LIBERATION;;;;61;05000 GAP;5;HAUTES ALPES;492511583;71;Société en Nom Collectif (S.N.C.);;;326909868;;24/09/1963
structureej;50003490;SELARL PHARMACIE D'ORCIERES;SELARL PHARMACIE D'ORCIERES;;;PL;DES DRAPEAUX;;;;96;05170 ORCIERES;5;HAUTES ALPES;;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;492350087;;03/11/2015
structureej;50003524;SELARL PHARMACIE DES REMPARTS;SELARL PHARMACIE DES REMPARTS;;;R;DE LA LIBERTE;;;;46;05200 EMBRUN;5;HAUTES ALPES;492433769;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;424689719;;04/11/1982
structureej;50003540;SELEURL PHARMACIE DU VALGAUDEMAR;SELEURL PHARMACIE DU VALGAUDEMAR;;101;R;du Pont des Richards;;;;142;05800 ST FIRMIN EN VALGODEMARD;5;HAUTES ALPES;492552180;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;883235350;;03/03/2015
structureej;50003565;SELARL PHARMACIE DE LA SAULCE;SELARL PHARMACIE DE LA SAULCE;;;PL;DE LA LIBERTE;;;;162;05110 LA SAULCE;5;HAUTES ALPES;492542515;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;832933535;;10/11/1993
structureej;50003581;PHARMACIE CHRISTIAN-FARDEAU;PHARMACIE CHRISTIAN-FARDEAU;;;LD;Les Auches;;;;101;05290 VALLOUISE PELVOUX;5;HAUTES ALPES;492233042;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;354073736;;11/10/2017
structureej;50003615;SELAS PHARMACIE 1350;SELAS PHARMACIE 1350;;158;ALL;des Boutiques;;;;133;05330 ST CHAFFREY;5;HAUTES ALPES;492240621;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;852513621;;05/02/1975
structureej;50003631;SELAS PHARMACIE DE L'HOTEL DE VILLE;SELAS PHARMACIE DE L'HOTEL DE VILLE;;5;AV;ARTHUR AUDIBERT;;;;70;05300 LARAGNE MONTEGLIN;5;HAUTES ALPES;492652057;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;395277338;;08/06/1994
structureej;50003664;PHARMACIE FONTROUGE;PHARMACIE FONTROUGE;;13;AV;DES MARTYRS;;;;179;05400 VEYNES;5;HAUTES ALPES;492580072;71;Société en Nom Collectif (S.N.C.);;;440109841;;08/09/1942
structureej;50003680;SELARL PHARMACIE DU CHAMPSAUR;SELARL PHARMACIE DU CHAMPSAUR;;5;R;DU 11 NOVEMBRE;;;;132;05500 ST BONNET EN CHAMPSAUR;5;HAUTES ALPES;492505353;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;449678697;;03/08/2015
structureej;50003714;SELARL  LA PHARMACIE DE FONTREYNE;SELARL  LA PHARMACIE DE FONTREYNE;;19;AV;FRANCOIS MITTERRAND;;;;61;05000 GAP;5;HAUTES ALPES;492523541;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;823405527;;21/06/1990
structureej;50003730;EURL PHARMACIE PEYRON;EURL PHARMACIE PEYRON;;;R;MAURICE PETSCHE;;;;65;05600 GUILLESTRE;5;HAUTES ALPES;492450414;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;379605165;;24/10/1988
structureej;50003763;SELARL PHARMACIE DU DEVOLUY;SELARL PHARMACIE DU DEVOLUY;;;;LES MONTS DU SOLEIL;;;;139;05250 LE DEVOLUY;5;HAUTES ALPES;492588158;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;841498413;;27/03/2013
structureej;50003797;PHARMACIE FUBIANI;PHARMACIE FUBIANI;;;LD;LES GAUDIS;;;;123;05400 LA ROCHE DES ARNAUDS;5;HAUTES ALPES;492578940;70;Personne Physique;;;412609158;;01/12/1983
structureej;50003813;SELARL PHARMACIE DU GRAND MORGON;SELARL PHARMACIE DU GRAND MORGON;;;PL;DU COMMERCE;;;;164;05160 SAVINES LE LAC;5;HAUTES ALPES;492442075;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;490913845;;25/06/2008
structureej;50003847;SELARL PHARMACIE MELLET;SELARL PHARMACIE MELLET;;87;CRS;Fontanarosa;;;;177;05560 VARS;5;HAUTES ALPES;492465250;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;444790182;;15/12/1997
structureej;50003862;SELARL PHIE DE LA LUYSANNE;SELARL PHIE DE LA LUYSANNE;;18;AV;EMILE DIDIER;;;;61;05000 GAP;5;HAUTES ALPES;492538546;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;832525075;;06/03/1991
structureej;50003896;SELAS PHARMACIE DES ALPES;SELAS PHARMACIE DES ALPES;;;;GRANDE RUE;;;;40;05230 CHORGES;5;HAUTES ALPES;492506016;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;388923245;;28/04/1982
structureej;50003912;SELARL PHARMACIE DES ORRES;SELARL PHARMACIE DES ORRES;;;PL;EMILE ODOUL;;;;98;05200 LES ORRES;5;HAUTES ALPES;492440129;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;851016725;;05/12/1986
structureej;50003920;SELARL  PHARMACIE DE LA FONTAINE;SELARL  PHARMACIE DE LA FONTAINE;;5;PL;DE LA FONTAINE;;;;70;05300 LARAGNE MONTEGLIN;5;HAUTES ALPES;492651584;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;341917532;;04/11/2009
structureej;50003953;PHARMACIE SERRE;PHARMACIE SERRE;;10;R;de l'Eglise;;;;85;05100 MONTGENEVRE;5;HAUTES ALPES;492219283;70;Personne Physique;;;382222586;;21/09/1978
structureej;50003987;SELARL PHARMACIE DU MOULIN;SELARL PHARMACIE DU MOULIN;;65;AV;Francois Mitterrand;;;;17;05230 LA BATIE NEUVE;5;HAUTES ALPES;492503467;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;442692638;;18/01/1990
structureej;50004001;SELARL PHARMACIE DU DRAC;SELARL PHARMACIE DU DRAC;;13;RTE;de Saint Jean;;;;145;05260 ST JEAN ST NICOLAS;5;HAUTES ALPES;492559230;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;841774607;;08/03/1951
structureej;50004274;SELARL PHARMACIE DE LA LIBERTE;SELARL PHARMACIE DE LA LIBERTE;;;;LA LIBERTE;;;;166;05700 SERRES;5;HAUTES ALPES;492670355;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;804147916;;06/07/1993
structureej;50004290;PHARMACIE FERRARIS - TROTOBAS;PHARMACIE FERRARIS - TROTOBAS;;;R;PRINCIPALE;;;;119;05600 RISOUL;5;HAUTES ALPES;492461783;71;Société en Nom Collectif (S.N.C.);;;449493915;;19/01/1984
structureej;50004399;LE MONT SOLEIL;LE MONT SOLEIL;;;CHE;DE LA BARQUE;;;;50;05190 ESPINASSES;5;HAUTES ALPES;491055550;95;Société par Actions Simplifiée (S.A.S.);699;Entité Ayant Autorisation;500463971;8730A;03/07/2007
structureej;50004407;SELARL  PHARMACIE ST ROCH;SELARL  PHARMACIE ST ROCH;;72;AV;JEAN JAURES;;;;61;05000 GAP;5;HAUTES ALPES;492511241;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;531171569;;09/04/1990
structureej;50005206;ETS PUB HOSPIT INTERCOM GUIL'ECRINS;ETABLISSEMENT PUBLIC HOSPITALIER INTERCOMMUNAL GUIL'ECRINS;;;;LE QUEYRON;;;;65;05600 GUILLESTRE;5;HAUTES ALPES;492454760;22;Etablissement Social et Médico-Social Intercommunal;;;260503446;;01/01/2001
structureej;50005297;SELARL PHARMACIE D'AIGUILLES;SELARL PHARMACIE D'AIGUILLES;;764;R;du Bourg;;;;3;05470 AIGUILLES;5;HAUTES ALPES;492467009;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;504639154;;06/09/1943
structureej;50005446;SAS LE VAL DE SERRES;;;7;R;DES JARDINS;;SERRES;SERRES;166;05700 SERRES;5;HAUTES ALPES;492675000;95;Société par Actions Simplifiée (S.A.S.);;;388169757;8730A;01/01/2001
structureej;50005537;ASSOCIATION LA MEIJE;ASSOCIATION LA MEIJE;;20;AV;DU GALIBIER;;;;23;05100 BRIANCON;5;HAUTES ALPES;495080122;60;Association Loi 1901 non Reconnue d'Utilité Publique;699;Entité Ayant Autorisation;414543652;;01/01/2001
structureej;50005586;CIAS DU HAUT BUECH;CENTRE INTERCOMMUNAL D'ACTION SOCIA;CCAS;;;GRAND'RUE;;;;10;05140 ASPRES SUR BUECH;5;HAUTES ALPES;492587963;8;Centre Intercommunal d'Action Sociale (CIAS);;;260503248;8899B;01/01/2001
structureej;50006030;ADDICTIONS FRANCE 05;ADDICTIONS FRANCE EX ANPAA;;10;R;CARNOT;;;;61;05000 GAP;5;HAUTES ALPES;492538766;61;Association Loi 1901 Reconnue d'Utilité Publique;;;;;01/01/2001
structureej;50006055;CENTRE SOINS A DOM. POUR P. A.;CENTRE DE SOINS A DOMICILE POUR PERSONNES AGEES DE GAP;;21;R;DE LA BOISERIE;;ZONE ARTISANALE LA JUSTICE II;;61;05000 GAP;5;HAUTES ALPES;492538015;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;327843470;8810A;01/01/2001
structureej;50006121;SELARL PHARMACIE DU GUIL;SELARL PHARMACIE DU GUIL;;;RTE;DU QUEYRAS;;;;65;05600 GUILLESTRE;5;HAUTES ALPES;492453743;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;538395161;;26/11/1998
structureej;50006329;UDAF DES HAUTES-ALPES;UNION DEPARTEMENTALE ASSOCIATIONS FAMILIALES HAUTES-ALPES;;116;BD;GEORGES POMPIDOU;;;;61;05010 GAP CEDEX;5;HAUTES ALPES;492513021;61;Association Loi 1901 Reconnue d'Utilité Publique;;;782437784;9499Z;20/10/1986
structureej;50006741;MUTUELLE D'ACTION SOCIALE 04 05;UNION DE MUTUELLES 04-05;;8;AV;LESDISGUIERES LE CONNETABLE;;;;61;05000 GAP;5;HAUTES ALPES;492521812;47;Société Mutualiste;699;Entité Ayant Autorisation;391642113;6512Z;01/01/2001
structureej;50006931;POLYCLINIQUE DES ALPES DU SUD GAP;POLYCLINIQUE DES ALPES DU SUD GAP;GROUPE ALMAVIVA SANTE;5;R;ANTONIN CORONAT;;;;61;05010 GAP CEDEX;5;HAUTES ALPES;492561024;73;Société Anonyme (S.A.);699;Entité Ayant Autorisation;424809317;8610Z;01/01/2001
structureej;50007129;GAP CHARANCE CIM GAPENCAIS SITE CL ALP;GAP CHARANCE CIM DU GAPENCAIS SITE CLIN ALPES DU SUD;;2;AV;LESDIGUIERES;;SITE POLYCLINIQUE ALPES DU SUD;;61;05000 GAP;5;HAUTES ALPES;492535319;95;Société par Actions Simplifiée (S.A.S.);699;Entité Ayant Autorisation;533021002;7010Z;09/08/2011
structureej;50007145;CENTRE HOSPITALIER BUECH DURANCE;CENTRE HOSPITALIER BUECH DURANCE;;;R;DU DR PROVANSAL;;;;70;05300 LARAGNE MONTEGLIN;5;HAUTES ALPES;492655120;11;Etablissement Public Départemental d'Hospitalisation;355;Centre Hospitalier (C.H.);200030153;8610Z;31/12/2011
structureej;50007400;MAISON DE SANTE DE LA DURANCE;;MSP DE L'ARGENTIERE-VALLOUISE;1;R;DU PLAN D'ERGUE;;;;6;05120 L ARGENTIERE LA BESSEE;5;HAUTES ALPES;492533197;80;Société Interprofessionnelle Soins Ambulatoires (S.I.S.A.);;;;;03/08/2012
structureej;50007426;CALHAURA PACT 05;;;;PAS;DE LA CITADELLE;;;;61;05000 GAP;5;HAUTES ALPES;492515334;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;782437909;;01/12/1967
structureej;50007442;POLE SANTE PLURIDISCIPLINAIRE SELIANCE;;SISA PSPS;7;R;DU DOCTEUR AYASSE;;;;61;05000 GAP;5;HAUTES ALPES;492523333;80;Société Interprofessionnelle Soins Ambulatoires (S.I.S.A.);;;792613119;8610Z;22/04/2013
structureej;50007483;MADAME ELISABETH REY;;;;RTE;NATIONALE;;;;63;05320 LA GRAVE;5;HAUTES ALPES;476799803;70;Personne Physique;;;378718852;8621Z;01/01/2014
structureej;50007509;MADAME MERCAN ALINE;CABINET MEDICAL MADAME MERCAN ALINE;CABINET MEDICAL;;RTE;DEPARTEMENTALE 1091;;;;63;05320 LA GRAVE;5;HAUTES ALPES;476799803;70;Personne Physique;699;Entité Ayant Autorisation;392864468;8621Z;01/01/2014
